Date,AAPL,T,LMT,XOM,,,,,,,,,,
1/2/2015 16:00:00,27.33,25.56,193.31,92.83,,,,,,,,,,
1/5/2015 16:00:00,26.56,25.32,189.29,90.29,,,,,,,,,,
1/6/2015 16:00:00,26.57,25.36,188.4,89.81,,,,,,,,,,
1/7/2015 16:00:00,26.94,25.03,190.83,90.72,,,,,,,,,,
1/8/2015 16:00:00,27.97,25.28,195.13,92.23,,,,,,,,,,
1/9/2015 16:00:00,28,25.21,195.02,92.1,,,,,,,,,,
1/12/2015 16:00:00,27.31,25.27,194.47,90.33,,,,,,,,,,
1/13/2015 16:00:00,27.56,25.27,194.35,90,,,,,,,,,,
1/14/2015 16:00:00,27.45,25.15,193.23,89.74,,,,,,,,,,
1/15/2015 16:00:00,26.71,25.1,192.37,88.96,,,,,,,,,,
1/16/2015 16:00:00,26.5,25.51,194.71,91.12,,,,,,,,,,
1/20/2015 16:00:00,27.18,25.62,195.75,91.09,,,,,,,,,,
1/21/2015 16:00:00,27.39,25.66,195.5,91.87,,,,,,,,,,
1/22/2015 16:00:00,28.1,25.5,198.09,92.87,,,,,,,,,,
1/23/2015 16:00:00,28.25,25.18,197.44,90.89,,,,,,,,,,
1/26/2015 16:00:00,28.28,25.04,195.68,91.76,,,,,,,,,,
1/27/2015 16:00:00,27.29,24.76,190.55,90.95,,,,,,,,,,
1/28/2015 16:00:00,28.83,24.66,189.25,87.95,,,,,,,,,,
1/29/2015 16:00:00,29.73,24.87,192.5,87.58,,,,,,,,,,
1/30/2015 16:00:00,29.29,24.84,188.37,87.42,,,,,,,,,,
2/2/2015 16:00:00,29.66,25.33,189.33,89.58,,,,,,,,,,
2/3/2015 16:00:00,29.66,25.92,192,92.25,,,,,,,,,,
2/4/2015 16:00:00,29.89,25.97,192.28,91.46,,,,,,,,,,
2/5/2015 16:00:00,29.99,26.07,194.06,92.36,,,,,,,,,,
2/6/2015 16:00:00,29.73,26.32,195.24,91.5,,,,,,,,,,
2/9/2015 16:00:00,29.93,26.14,193.02,91.56,,,,,,,,,,
2/10/2015 16:00:00,30.51,26.3,195.67,91.01,,,,,,,,,,
2/11/2015 16:00:00,31.22,25.95,196.31,90.6,,,,,,,,,,
2/12/2015 16:00:00,31.62,26.12,197.48,92.37,,,,,,,,,,
2/13/2015 16:00:00,31.77,26.16,196.95,93.37,,,,,,,,,,
2/17/2015 16:00:00,31.96,26.2,197.57,93.05,,,,,,,,,,
2/18/2015 16:00:00,32.18,26.03,198.57,91.01,,,,,,,,,,
2/19/2015 16:00:00,32.11,25.73,201.71,89.44,,,,,,,,,,
2/20/2015 16:00:00,32.37,25.72,203.99,89.92,,,,,,,,,,
2/23/2015 16:00:00,33.25,25.55,205.59,89.01,,,,,,,,,,
2/24/2015 16:00:00,33.04,25.7,206.62,89.42,,,,,,,,,,
2/25/2015 16:00:00,32.2,25.82,204.86,89.6,,,,,,,,,,
2/26/2015 16:00:00,32.6,26.04,201.33,88.65,,,,,,,,,,
2/27/2015 16:00:00,32.12,26.08,200.05,88.54,,,,,,,,,,
3/2/2015 16:00:00,32.27,26.14,203.02,88.04,,,,,,,,,,
3/3/2015 16:00:00,32.34,25.97,199.93,87.62,,,,,,,,,,
3/4/2015 16:00:00,32.14,25.66,198.97,87.18,,,,,,,,,,
3/5/2015 16:00:00,31.6,25.66,199.1,86.74,,,,,,,,,,
3/6/2015 16:00:00,31.65,25.27,197.66,85.63,,,,,,,,,,
3/9/2015 16:00:00,31.79,25.17,199.74,85.16,,,,,,,,,,
3/10/2015 16:00:00,31.13,24.74,197.58,84.26,,,,,,,,,,
3/11/2015 16:00:00,30.56,24.62,197.21,84.02,,,,,,,,,,
3/12/2015 16:00:00,31.11,25,198.78,84.22,,,,,,,,,,
3/13/2015 16:00:00,30.9,24.72,197.11,83.87,,,,,,,,,,
3/16/2015 16:00:00,31.24,24.95,202.11,84.76,,,,,,,,,,
3/17/2015 16:00:00,31.76,24.83,200.67,84.08,,,,,,,,,,
3/18/2015 16:00:00,32.12,25.35,202.6,86.07,,,,,,,,,,
3/19/2015 16:00:00,31.87,25.06,202.19,84.41,,,,,,,,,,
3/20/2015 16:00:00,31.48,25.08,203.77,84.54,,,,,,,,,,
3/23/2015 16:00:00,31.8,25.12,202.92,85.43,,,,,,,,,,
3/24/2015 16:00:00,31.67,24.96,203.3,84.52,,,,,,,,,,
3/25/2015 16:00:00,30.85,24.62,199.02,84.86,,,,,,,,,,
3/26/2015 16:00:00,31.06,24.77,200.56,84.32,,,,,,,,,,
3/27/2015 16:00:00,30.81,24.72,202.23,83.58,,,,,,,,,,
3/30/2015 16:00:00,31.59,24.88,204.89,85.63,,,,,,,,,,
3/31/2015 16:00:00,31.11,24.64,202.96,85,,,,,,,,,,
4/1/2015 16:00:00,31.06,24.82,198.76,84.46,,,,,,,,,,
4/2/2015 16:00:00,31.33,25,198.72,84.3,,,,,,,,,,
4/6/2015 16:00:00,31.84,25.15,200.53,85.13,,,,,,,,,,
4/7/2015 16:00:00,31.5,25.03,200.15,85.75,,,,,,,,,,
4/8/2015 16:00:00,31.4,24.64,200.81,84.06,,,,,,,,,,
4/9/2015 16:00:00,31.64,24.67,201.44,84.65,,,,,,,,,,
4/10/2015 16:00:00,31.78,24.73,200.4,85.56,,,,,,,,,,
4/13/2015 16:00:00,31.71,24.81,197.05,85.34,,,,,,,,,,
4/14/2015 16:00:00,31.58,24.67,197.34,86.63,,,,,,,,,,
4/15/2015 16:00:00,31.7,24.82,197.21,88.08,,,,,,,,,,
4/16/2015 16:00:00,31.54,24.72,197.12,87.73,,,,,,,,,,
4/17/2015 16:00:00,31.19,24.54,194.82,86.93,,,,,,,,,,
4/20/2015 16:00:00,31.9,24.78,196.8,87.24,,,,,,,,,,
4/21/2015 16:00:00,31.73,24.65,196.29,86.88,,,,,,,,,,
4/22/2015 16:00:00,32.16,24.8,197.63,87.46,,,,,,,,,,
4/23/2015 16:00:00,32.42,25.83,197.2,87.54,,,,,,,,,,
4/24/2015 16:00:00,32.57,25.67,195.37,86.97,,,,,,,,,,
4/27/2015 16:00:00,33.16,25.73,193.84,87.01,,,,,,,,,,
4/28/2015 16:00:00,32.64,26.31,194.02,87.8,,,,,,,,,,
4/29/2015 16:00:00,32.16,26.23,191.29,87.87,,,,,,,,,,
4/30/2015 16:00:00,31.29,26.14,186.6,87.37,,,,,,,,,,
5/1/2015 16:00:00,32.24,25.98,189,88.85,,,,,,,,,,
5/4/2015 16:00:00,32.17,26.06,189.69,89.11,,,,,,,,,,
5/5/2015 16:00:00,31.45,25.45,187.35,88.61,,,,,,,,,,
5/6/2015 16:00:00,31.25,25.19,186.83,88.19,,,,,,,,,,
5/7/2015 16:00:00,31.32,25.18,188.21,87.6,,,,,,,,,,
5/8/2015 16:00:00,31.91,25.43,190.48,88.99,,,,,,,,,,
5/11/2015 16:00:00,31.58,25.27,190.47,86.78,,,,,,,,,,
5/12/2015 16:00:00,31.47,25.4,190.61,87.02,,,,,,,,,,
5/13/2015 16:00:00,31.5,25.58,191,86.56,,,,,,,,,,
5/14/2015 16:00:00,32.24,25.76,193.05,86.97,,,,,,,,,,
5/15/2015 16:00:00,32.19,25.91,192.36,87.35,,,,,,,,,,
5/18/2015 16:00:00,32.55,26.32,193.08,86.85,,,,,,,,,,
5/19/2015 16:00:00,32.52,25.94,193.38,86.99,,,,,,,,,,
5/20/2015 16:00:00,32.52,26.13,193.25,87.13,,,,,,,,,,
5/21/2015 16:00:00,32.85,26.47,193.11,87.21,,,,,,,,,,
5/22/2015 16:00:00,33.14,26.2,192.86,86.52,,,,,,,,,,
5/26/2015 16:00:00,32.41,26.17,190.51,85.35,,,,,,,,,,
5/27/2015 16:00:00,33.01,26.38,191.35,85.11,,,,,,,,,,
5/28/2015 16:00:00,32.95,26.26,190.12,85.11,,,,,,,,,,
5/29/2015 16:00:00,32.57,26.07,188.2,85.2,,,,,,,,,,
6/1/2015 16:00:00,32.63,25.92,191.07,85.13,,,,,,,,,,
6/2/2015 16:00:00,32.49,25.93,190.77,85.14,,,,,,,,,,
6/3/2015 16:00:00,32.53,26.44,191.89,84.95,,,,,,,,,,
6/4/2015 16:00:00,32.34,26.62,190.17,84.22,,,,,,,,,,
6/5/2015 16:00:00,32.16,26.09,189.33,84.28,,,,,,,,,,
6/8/2015 16:00:00,31.95,26.1,189.37,84.85,,,,,,,,,,
6/9/2015 16:00:00,31.86,26.04,189.35,84.58,,,,,,,,,,
6/10/2015 16:00:00,32.22,26.2,189.28,85.21,,,,,,,,,,
6/11/2015 16:00:00,32.15,26.32,191.48,85.09,,,,,,,,,,
6/12/2015 16:00:00,31.79,26.15,190.98,84.02,,,,,,,,,,
6/15/2015 16:00:00,31.73,25.97,189.92,83.72,,,,,,,,,,
6/16/2015 16:00:00,31.9,26.17,190.82,84.68,,,,,,,,,,
6/17/2015 16:00:00,31.83,26.26,191.02,84.73,,,,,,,,,,
6/18/2015 16:00:00,31.97,26.43,192.75,85.48,,,,,,,,,,
6/19/2015 16:00:00,31.65,26.41,191.14,85.21,,,,,,,,,,
6/22/2015 16:00:00,31.9,26.44,192.08,85.17,,,,,,,,,,
6/23/2015 16:00:00,31.76,27.1,191.64,85.07,,,,,,,,,,
6/24/2015 16:00:00,32.03,27,190.17,84.68,,,,,,,,,,
6/25/2015 16:00:00,31.88,27.3,189.99,83.93,,,,,,,,,,
6/26/2015 16:00:00,31.69,27.26,188.64,83.86,,,,,,,,,,
6/29/2015 16:00:00,31.13,27,185.52,82.82,,,,,,,,,,
6/30/2015 16:00:00,31.36,26.81,185.9,83.2,,,,,,,,,,
7/1/2015 16:00:00,31.65,26.84,188.17,82.37,,,,,,,,,,
7/2/2015 16:00:00,31.61,26.97,187.3,83.14,,,,,,,,,,
7/6/2015 16:00:00,31.5,26.87,187.99,82.53,,,,,,,,,,
7/7/2015 16:00:00,31.42,27,190.16,82.87,,,,,,,,,,
7/8/2015 16:00:00,30.64,26.26,190.05,81.97,,,,,,,,,,
7/9/2015 16:00:00,30.02,25.95,192.13,81.6,,,,,,,,,,
7/10/2015 16:00:00,30.82,26.15,194.19,82.22,,,,,,,,,,
7/13/2015 16:00:00,31.42,26.32,197.88,82.42,,,,,,,,,,
7/14/2015 16:00:00,31.4,26.5,199.05,83.11,,,,,,,,,,
7/15/2015 16:00:00,31.71,26.21,199.41,82.76,,,,,,,,,,
7/16/2015 16:00:00,32.13,26.53,201.62,82.91,,,,,,,,,,
7/17/2015 16:00:00,32.41,26.42,201.18,82.61,,,,,,,,,,
7/20/2015 16:00:00,33.02,26.34,205.13,81.76,,,,,,,,,,
